        K, Rendimiento, Aciertos,
**** Metrica: Manhattan Archivo: wine_test60.0.csv *****,
57,70.4225352112676,50,
58,69.01408450704226,49,
59,69.01408450704226,49,
60,67.6056338028169,48,
61,67.6056338028169,48,
62,67.6056338028169,48,
63,70.4225352112676,50,
64,67.6056338028169,48,
65,67.6056338028169,48,
66,69.01408450704226,49,
67,69.01408450704226,49,
68,69.01408450704226,49,
69,70.4225352112676,50,
70,71.83098591549296,51,
71,71.83098591549296,51,
**** Metrica: Manhattan Archivo: wine_test70.0.csv *****,
1,11.320754716981133,6,
2,11.320754716981133,6,
3,11.320754716981133,6,
4,11.320754716981133,6,
5,11.320754716981133,6,
6,11.320754716981133,6,
7,11.320754716981133,6,
8,11.320754716981133,6,
9,9.433962264150944,5,
10,9.433962264150944,5,
11,7.547169811320755,4,
12,9.433962264150944,5,
13,5.660377358490567,3,
14,7.547169811320755,4,
15,5.660377358490567,3,
16,5.660377358490567,3,
17,5.660377358490567,3,
18,5.660377358490567,3,
19,5.660377358490567,3,
20,7.547169811320755,4,
21,5.660377358490567,3,
22,5.660377358490567,3,
23,5.660377358490567,3,
24,7.547169811320755,4,
25,5.660377358490567,3,
26,5.660377358490567,3,
27,5.660377358490567,3,
28,5.660377358490567,3,
29,5.660377358490567,3,
30,5.660377358490567,3,
31,3.7735849056603774,2,
32,3.7735849056603774,2,
33,3.7735849056603774,2,
34,3.7735849056603774,2,
35,1.8867924528301887,1,
36,1.8867924528301887,1,
37,1.8867924528301887,1,
38,1.8867924528301887,1,
39,3.7735849056603774,2,
40,1.8867924528301887,1,
41,1.8867924528301887,1,
42,1.8867924528301887,1,
43,1.8867924528301887,1,
44,1.8867924528301887,1,
45,1.8867924528301887,1,
46,1.8867924528301887,1,
47,1.8867924528301887,1,
48,1.8867924528301887,1,
49,1.8867924528301887,1,
50,1.8867924528301887,1,
51,1.8867924528301887,1,
52,1.8867924528301887,1,
53,1.8867924528301887,1,
**** Metrica: Euclidiana Archivo: wine_test70.0.csv *****,
1,64.15094339622641,34,
2,64.15094339622641,34,
3,60.37735849056604,32,
4,66.0377358490566,35,
5,66.0377358490566,35,
6,66.0377358490566,35,
7,64.15094339622641,34,
8,66.0377358490566,35,
9,66.0377358490566,35,
10,66.0377358490566,35,
11,69.81132075471697,37,
12,67.9245283018868,36,
13,69.81132075471697,37,
14,66.0377358490566,35,
15,71.69811320754717,38,
16,67.9245283018868,36,
17,69.81132075471697,37,
18,67.9245283018868,36,
19,64.15094339622641,34,
20,64.15094339622641,34,
21,64.15094339622641,34,
22,64.15094339622641,34,
23,64.15094339622641,34,
24,64.15094339622641,34,
25,67.9245283018868,36,
26,64.15094339622641,34,
27,66.0377358490566,35,
28,62.264150943396224,33,
29,66.0377358490566,35,
30,60.37735849056604,32,
31,62.264150943396224,33,
32,60.37735849056604,32,
33,64.15094339622641,34,
34,62.264150943396224,33,
35,66.0377358490566,35,
36,64.15094339622641,34,
37,66.0377358490566,35,
38,66.0377358490566,35,
39,64.15094339622641,34,
40,71.69811320754717,38,
41,69.81132075471697,37,
42,77.35849056603774,41,
43,75.47169811320755,40,
44,71.69811320754717,38,
45,73.58490566037736,39,
46,67.9245283018868,36,
47,69.81132075471697,37,
48,67.9245283018868,36,
49,77.35849056603774,41,
50,67.9245283018868,36,
51,73.58490566037736,39,
52,73.58490566037736,39,
53,73.58490566037736,39,
**** Metrica: Manhattan Archivo: wine_test80.0.csv *****,
1,8.571428571428571,3,
2,8.571428571428571,3,
3,8.571428571428571,3,
4,8.571428571428571,3,
5,8.571428571428571,3,
6,8.571428571428571,3,
7,8.571428571428571,3,
8,8.571428571428571,3,
9,8.571428571428571,3,
10,8.571428571428571,3,
11,5.714285714285714,2,
12,5.714285714285714,2,
13,5.714285714285714,2,
14,5.714285714285714,2,
15,5.714285714285714,2,
16,8.571428571428571,3,
17,8.571428571428571,3,
18,8.571428571428571,3,
19,8.571428571428571,3,
20,8.571428571428571,3,
21,8.571428571428571,3,
22,8.571428571428571,3,
23,8.571428571428571,3,
24,8.571428571428571,3,
25,8.571428571428571,3,
26,8.571428571428571,3,
27,8.571428571428571,3,
28,8.571428571428571,3,
29,8.571428571428571,3,
30,8.571428571428571,3,
31,5.714285714285714,2,
32,8.571428571428571,3,
33,5.714285714285714,2,
34,5.714285714285714,2,
35,5.714285714285714,2,
**** Metrica: Euclidiana Archivo: wine_test80.0.csv *****,
1,77.14285714285715,27,
2,77.14285714285715,27,
3,71.42857142857143,25,
4,74.28571428571429,26,
5,68.57142857142857,24,
6,71.42857142857143,25,
7,68.57142857142857,24,
8,74.28571428571429,26,
9,65.71428571428571,23,
10,65.71428571428571,23,
11,65.71428571428571,23,
12,62.857142857142854,22,
13,65.71428571428571,23,
14,65.71428571428571,23,
15,62.857142857142854,22,
16,62.857142857142854,22,
17,62.857142857142854,22,
18,68.57142857142857,24,
19,62.857142857142854,22,
20,68.57142857142857,24,
21,62.857142857142854,22,
22,62.857142857142854,22,
23,60.0,21,
24,62.857142857142854,22,
25,60.0,21,
26,62.857142857142854,22,
27,62.857142857142854,22,
28,65.71428571428571,23,
29,65.71428571428571,23,
30,65.71428571428571,23,
31,65.71428571428571,23,
32,65.71428571428571,23,
33,62.857142857142854,22,
34,65.71428571428571,23,
35,65.71428571428571,23,
**** Metrica: Manhattan Archivo: wine_test90.0.csv *****,
1,17.647058823529413,3,
2,17.647058823529413,3,
3,11.76470588235294,2,
4,17.647058823529413,3,
5,11.76470588235294,2,
6,11.76470588235294,2,
7,11.76470588235294,2,
8,11.76470588235294,2,
9,11.76470588235294,2,
10,11.76470588235294,2,
11,11.76470588235294,2,
12,11.76470588235294,2,
13,11.76470588235294,2,
14,11.76470588235294,2,
15,11.76470588235294,2,
16,11.76470588235294,2,
17,5.88235294117647,1,
**** Metrica: Euclidiana Archivo: wine_test90.0.csv *****,
